Time,Voltage,Temp,Current,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,DistanceMeters,HeartRateBpm,Cadence,Speed
03:15:40,36.785,29.62,0.03,1.34231875,103.6807411,42.9419430402368,31830.64273659797,0,0,8.071225806451613
03:15:41,36.045,29.69,8.37,1.34232455,103.68070998,42.93355443218944,31864.15273659797,0,7,12.432695652173914
03:15:42,36.06,29.68,8.41,1.34233843,103.68068392,42.92684354575155,31870.85473659797,0,7,12.432695652173914
03:15:43,36.055,29.61,8.26,1.34235385,103.68066006,42.92147483660124,31877.556736597973,0,32,7.216454258675078
03:15:44,36.045,29.5,8.8,1.34237589,103.68063321,42.91717986928099,31892.07773659797,0,32,7.216454258675078
03:15:45,36.03,29.45,8.83,1.3424051,103.68060152,42.9137438954248,31899.896736597973,0,29,9.026669673055242
03:15:46,36.03,29.53,8.8,1.34243814,103.68056022,42.91099511633983,31911.06673659797,0,29,10.104310954063603
03:15:47,36.025,29.66,8.85,1.34247107,103.68052716,42.90879609307186,31926.70473659797,0,32,10.104310954063603
03:15:48,36.025,29.65,8.76,1.34250693,103.68049719,42.90703687445749,31941.22573659797,0,32,14.366670531400963
03:15:50,36.02,29.69,8.78,1.34253915,103.680466,42.90562949956599,31976.96973659797,0,33,17.889470185728253
03:15:51,36.015,29.75,8.31,1.34259295,103.68040608,42.90450359965279,31976.96973659797,0,32,17.889470185728253
03:15:52,36.01,29.83,8.48,1.34263123,103.68036066,42.90360287972224,32013.83073659797,0,31,15.88622222222222
03:15:53,36.015,29.94,8.45,1.34266553,103.68032285,42.90288230377779,32030.58573659797,0,31,16.019719887955183
03:15:54,36.005,30.11,8.84,1.34269927,103.68028889,42.90230584302223,32030.58573659797,0,31,16.019719887955183
03:15:55,36.005,30.17,8.6,1.34273089,103.68025162,42.90184467441778,32064.09573659797,0,27,14.9099739292365
03:15:56,36.0,30.21,8.46,1.34276514,103.68022136,42.90147573953423,32076.38273659797,0,27,12.347289499509325
03:15:57,36.005,30.21,8.54,1.34280567,103.68020315,42.90118059162738,32095.37173659797,0,27,12.347289499509325
03:15:58,36.725,30.09,0.05,1.34284521,103.68020823,42.90094447330191,32105.42473659797,0,0,18.344090566037732
03:15:59,36.74,29.99,0.06,1.34287696,103.68021621,42.90075557864152,32115.47773659797,0,0,9.85097799043062
03:16:01,36.755,29.93,0.05,1.34290155,103.68024804,42.96060446291322,32124.413736597973,0,0,8.756424880382776
03:16:02,36.765,29.89,0.04,1.34291223,103.68027577,43.008483570330576,32160.15773659797,0,8,8.756424880382776
03:16:03,36.77,29.8,0.02,1.34290109,103.68030499,43.04678685626446,32160.15773659797,0,8,14.951738562091505
03:16:04,36.73,29.73,0.44,1.34287862,103.68033348,43.07742948501157,32214.89073659797,0,36,8.756424880382776
03:16:05,36.05,29.73,8.93,1.3428494,103.68036622,43.101943588009256,32227.17773659797,0,39,22.672111000991084
03:16:06,36.04,29.73,8.87,1.34282292,103.68039996,43.12155487040741,32227.17773659797,0,33,22.672111000991084
03:16:07,36.03,29.73,8.41,1.34279546,103.68043415,43.13724389632593,32243.93273659797,0,33,12.519291542288558
03:16:08,36.02,29.73,8.99,1.34276573,103.68046803,43.14979511706074,32259.57073659797,0,33,5.285619223659889
03:16:09,36.015,29.79,8.45,1.34274045,103.68049237,43.15983609364859,32269.62373659797,0,24,15.178494786729855
03:16:10,36.015,29.81,8.44,1.34269969,103.68052951,43.16786887491888,32278.55973659797,0,24,9.744903088391908
03:16:12,36.005,29.82,8.39,1.3426405,103.68059198,43.1742950999351,32293.08073659797,0,28,13.077839929639405
03:16:13,36.0,29.82,8.35,1.34261098,103.68063672,43.17943607994808,32314.303736597973,0,28,8.44918190212373
03:16:14,35.985,29.8,8.91,1.34259236,103.68068062,43.18354886395847,32314.303736597973,0,31,8.44918190212373
03:16:15,35.995,29.77,8.7,1.34257687,103.68072436,43.18683909116678,32332.175736597976,0,31,8.764812260536397
03:16:16,35.995,29.73,9.37,1.34254929,103.68076015,43.189471272933424,32337.76073659797,0,30,5.994800838574424
03:16:17,35.99,29.72,9.15,1.34252974,103.6807975,43.19157701834674,32337.76073659797,0,30,5.994800838574424
03:16:18,35.98,29.72,8.85,1.34250608,103.68083704,43.1932616146774,32372.38773659797,0,30,5.994800838574424
03:16:19,36.715,29.66,0.04,1.34247585,103.68086102,43.19460929174192,32381.323736597977,0,0,16.423909743589743
03:16:20,36.73,29.62,0.05,1.34240029,103.68087732,43.135687433393535,32391.376736597977,0,0,9.158604982206406
03:16:21,36.735,29.59,-0.01,1.34235878,103.68085858,43.08854994671483,32399.195736597976,0,0,8.254284536082475
03:16:23,36.75,29.59,0.07,1.34232904,103.68083812,43.05083995737186,32408.131736597978,0,8,8.583924953095684
03:16:24,36.71,29.57,0.31,1.34228997,103.68078778,43.02067196589749,32439.40773659798,0,8,8.583924953095684
03:16:25,36.035,29.63,9.13,1.34228463,103.68075028,42.99653757271799,32469.566736597983,0,31,12.569318681318682
03:16:26,36.025,29.64,9.18,1.34229381,103.68072342,42.97723005817439,32469.566736597983,0,31,12.569318681318682
03:16:27,36.01,29.6,8.68,1.3423114,103.68069956,42.96178404653951,32487.438736597986,0,27,12.569318681318682
03:16:28,36.01,29.51,8.87,1.34233804,103.68067191,42.94942723723161,32500.84273659798,0,27,4.718679867986797
03:16:29,36.0,29.57,8.67,1.34236208,103.6806509,42.93954178978529,32510.89573659798,0,32,4.718679867986797
03:16:30,36.0,29.65,8.99,1.34239155,103.68062582,42.93163343182823,32522.06573659798,0,32,10.158152753108348
03:16:31,35.99,29.77,8.62,1.34243367,103.680585,42.925306745462585,32532.11873659798,0,31,10.645576008273007
03:16:32,35.99,29.77,8.79,1.34247321,103.68054108,42.92024539637007,32546.63973659798,0,30,10.645576008273007
03:16:33,35.985,29.81,8.54,1.34250944,103.68050518,42.91619631709606,32563.39473659798,0,30,10.645576008273007
03:16:34,35.98,29.81,8.29,1.34253773,103.68046472,42.91295705367685,32572.33073659798,0,30,18.44851612903226
03:16:36,35.975,29.93,8.59,1.34259811,103.68039526,42.91036564294148,32589.085736597983,0,30,18.44851612903226
03:16:37,35.98,30.06,8.54,1.34263914,103.68035577,42.90829251435319,32589.085736597983,0,27,7.691312199807876
03:16:38,35.98,30.21,9.24,1.34267607,103.68031947,42.90663401148255,32602.489736597985,0,27,6.325205529953918
03:16:39,35.97,30.33,8.78,1.34270153,103.68029087,42.905307209186034,32613.659736597983,0,27,6.325205529953918
03:16:40,35.98,30.31,8.32,1.34273277,103.68025705,42.904245767348826,32613.659736597983,0,21,10.332502258355916
03:16:41,35.965,30.31,8.81,1.34278143,103.68021997,42.90339661387906,32650.520736597984,0,21,10.332502258355916
03:16:42,35.965,30.22,8.18,1.34282701,103.68021239,42.90271729110325,32670.626736597987,0,21,19.739735378715245
03:16:43,36.69,30.22,0.1,1.34286836,103.68021744,42.9021738328826,32680.679736597987,0,0,19.739735378715245
03:16:44,36.7,30.27,0.11,1.34289511,103.68023901,42.901739066306085,32689.61573659799,0,0,19.739735378715245
03:16:46,36.72,30.09,0.11,1.3429175,103.68027372,42.94139125304487,32698.55173659799,0,0,8.689899335232669
03:16:47,36.725,29.97,0.08,1.3429007,103.68030658,42.973113002435895,32715.306736597988,0,0,8.689899335232669
03:16:48,36.415,29.89,0.95,1.34288966,103.68032636,42.99849040194872,32752.167736597985,0,7,15.282121274409045
03:16:49,36.005,29.84,8.38,1.34286353,103.68035583,43.01879232155897,32752.167736597985,0,7,15.282121274409045
03:16:50,35.995,29.82,8.57,1.34283855,103.68038893,43.03503385724717,32772.273736597985,0,36,15.282121274409045
03:16:51,35.985,29.81,9.01,1.34281123,103.68042667,43.048027085797735,32772.273736597985,0,36,6.0905644302449415
03:16:52,35.98,29.84,8.43,1.34278721,103.68045771,43.05842166863819,32796.847736597985,0,36,9.591681341719076
03:16:53,35.985,29.84,9.22,1.34274704,103.68050682,43.06673733491055,32804.66673659799,0,28,7.773452427184466
03:16:54,35.975,29.8,9.09,1.34271397,103.68054688,43.07338986792844,32813.60273659799,0,28,9.261603238866396
03:16:55,35.975,29.81,8.44,1.34267455,103.68058954,43.07871189434275,32850.46373659799,0,27,9.261603238866396
